,Year,Count
0,2020,1.0
1,2020,1.0
2,2020,1.0
3,2020,1.0
4,2020,1.0
5,2020,1.0
6,2020,1.0
7,2020,1.0
8,2020,1.0
9,2020,1.0
10,2020,1.0
11,2020,1.0
12,2020,1.0
13,2020,1.0
14,2020,1.0
15,2020,1.0
16,2020,1.0
17,2020,1.0
18,2020,1.0
19,2020,1.0
20,2020,1.0
21,2020,1.0
22,2020,1.0
23,2020,1.0
24,2020,1.0
25,2020,1.0
26,2020,1.0
27,2020,1.0
28,2020,1.0
29,2020,1.0
30,2020,1.0
31,2020,1.0
32,2020,1.0
33,2020,1.0
34,2020,1.0
35,2020,1.0
36,2020,1.0
37,2020,1.0
38,2020,1.0
39,2020,1.0
40,2020,1.0
41,2020,1.0
42,2020,1.0
43,2020,1.0
44,2020,1.0
45,2020,1.0
46,2020,1.0
47,2020,1.0
48,2020,1.0
49,2020,1.0
50,2020,1.0
51,2020,1.0
52,2020,1.0
53,2020,1.0
54,2020,1.0
55,2020,1.0
56,2020,1.0
57,2020,1.0
58,2020,1.0
59,2021,1.0
60,2021,1.0
61,2021,1.0
62,2021,1.0
63,2021,1.0
64,2021,1.0
65,2021,1.0
66,2021,1.0
67,2021,1.0
68,2021,1.0
69,2021,1.0
70,2021,1.0
71,2021,1.0
72,2021,1.0
73,2021,1.0
74,2021,1.0
75,2021,1.0
76,2021,1.0
77,2021,1.0
78,2022,1.0
79,2021,1.0
80,2021,1.0
81,2021,1.0
82,2021,1.0
83,2021,1.0
84,2021,1.0
85,2021,1.0
86,2021,1.0
87,2021,1.0
88,2021,1.0
89,2021,1.0
90,2021,1.0
91,2021,1.0
92,2021,1.0
93,2021,1.0
94,2021,1.0
95,2021,1.0
96,2021,1.0
97,2021,1.0
98,2021,1.0
99,2021,1.0
100,2021,1.0
101,2021,1.0
102,2021,1.0
103,2021,1.0
104,2021,1.0
105,2021,1.0
106,2021,1.0
107,2021,1.0
108,2021,1.0
109,2021,1.0
110,2021,1.0
111,2021,1.0
112,2021,1.0
113,2021,1.0
114,2021,1.0
115,2021,1.0
116,2021,1.0
117,2021,1.0
118,2021,1.0
119,2021,1.0
120,2021,1.0
121,2021,1.0
122,2021,1.0
123,2021,1.0
124,2021,1.0
125,2021,1.0
126,2021,1.0
127,2021,1.0
128,2021,1.0
129,2021,1.0
130,2021,1.0
131,2021,1.0
132,2021,1.0
133,2021,1.0
134,2021,1.0
135,2021,1.0
136,2021,1.0
137,2021,1.0
138,2021,1.0
139,2021,1.0
140,2021,1.0
141,2021,1.0
142,2021,1.0
143,2021,1.0
144,2021,1.0
145,2021,1.0
146,2021,1.0
147,2021,1.0
148,2021,1.0
149,2021,1.0
150,2021,1.0
151,2021,1.0
152,2021,1.0
153,2021,1.0
154,2021,1.0
155,2021,1.0
156,2021,1.0
157,2021,1.0
158,2021,1.0
159,2021,1.0
160,2021,1.0
161,2021,1.0
162,2021,1.0
163,2021,1.0
164,2021,1.0
165,2021,1.0
166,2021,1.0
167,2021,1.0
168,2021,1.0
169,2021,1.0
170,2021,1.0
171,2021,1.0
172,2021,1.0
173,2021,1.0
174,2021,1.0
175,2021,1.0
176,2021,1.0
177,2021,1.0
178,2021,1.0
179,2021,1.0
180,2021,1.0
181,2021,1.0
182,2021,1.0
183,2021,1.0
184,2021,1.0
185,2021,1.0
186,2021,1.0
187,2021,1.0
188,2021,1.0
189,2021,1.0
190,2021,1.0
191,2021,1.0
192,2021,1.0
193,2021,1.0
194,2021,1.0
195,2021,1.0
196,2021,1.0
197,2021,1.0
198,2021,1.0
199,2021,1.0
200,2021,1.0
201,2021,1.0
202,2021,1.0
203,2021,1.0
204,2021,1.0
205,2021,1.0
206,2021,1.0
207,2021,1.0
208,2021,1.0
209,2021,1.0
210,2021,1.0
211,2021,1.0
212,2021,1.0
213,2021,1.0
214,2021,1.0
215,2021,1.0
216,2021,1.0
217,2021,1.0
218,2021,1.0
219,2021,1.0
220,2021,1.0
221,2021,1.0
222,2021,1.0
223,2021,1.0
224,2021,1.0
225,2021,1.0
226,2021,1.0
227,2021,1.0
228,2021,1.0
229,2021,1.0
230,2021,1.0
231,2021,1.0
232,2021,1.0
233,2021,1.0
234,2021,1.0
235,2021,1.0
236,2021,1.0
237,2021,1.0
238,2021,1.0
239,2021,1.0
240,2021,1.0
